time,x,y,speed,angle,lane,closest
87.6,951.13,1.6,12.78,340.36,D2_0,2.0
96.3,830.23,1.6,10.98,23.48,:5_6_0,4.0
100.0,778.62,1.6,12.07,151.81,:5_2_0,8.0
102.9,738.19,1.6,6.1,122.62,:5_2_0,10.0
123.0,458.04,1.6,0.58,110.66,D6_0,10.0
131.0,346.52,1.6,13.02,241.9,:5_5_0,16.0
135.2,287.98,1.6,0.44,69.43,D6_0,18.0
135.2,287.98,1.6,0.42,90.0,D6_0,18.0
153.8,28.82,1.6,0.44,111.41,D6_0,17.0
153.8,28.82,1.6,0.4,68.37,D6_0,17.0
157.5,-22.72,1.6,7.83,169.26,D4_0,18.0
172.7,-111.33,1.6,0.35,111.46,D6_0,16.0
172.7,-111.33,1.6,0.35,90.0,D6_0,16.0
193.0,-138.87,1.6,0.29,111.2,D6_0,16.0
193.0,-138.87,1.6,0.32,90.0,D6_0,16.0
195.5,-142.26,1.6,9.16,0.0,:5_7_0,18.0
201.6,-150.57,1.6,9.48,23.63,:5_11_0,16.0
213.5,-166.79,1.6,0.33,90.0,D6_0,13.0
227.1,-185.3,1.6,0.32,69.17,D6_0,11.0
227.1,-185.3,1.6,0.28,90.0,D6_0,11.0
76.3,-938.7,-1.6,13.01,270.0,D8_0,1.0
95.0,-692.35,-1.6,12.97,137.19,:5_2_0,7.0
96.8,-669.78,-1.6,12.04,297.89,:5_8_0,7.0
111.4,-494.16,-1.6,11.6,0.0,:5_7_0,7.0
113.5,-469.87,-1.6,8.29,0.0,:5_7_0,6.0
118.2,-415.66,-1.6,12.12,198.86,D4_0,7.0
125.7,-329.21,-1.6,6.45,158.94,D4_0,11.0
130.0,-279.69,-1.6,4.17,180.0,:5_1_0,13.0
131.7,-260.09,-1.6,5.87,90.0,:5_10_0,12.0
131.7,-260.09,-1.6,5.07,56.32,:5_6_0,12.0
136.9,-200.24,-1.6,11.08,270.0,:5_4_0,19.0
136.9,-200.24,-1.6,9.88,249.19,D8_0,19.0
141.0,-153.04,-1.6,1.55,202.74,:5_5_0,19.0
150.6,-58.53,-1.6,4.58,3.65,:5_6_0,18.0
154.5,-43.79,-1.6,10.36,0.0,:5_7_0,21.0
228.2,1.6,11.6,0.41,202.01,:5_5_0,19.0
255.5,1.6,46.28,0.28,180.0,D4_0,18.0
269.2,1.6,63.63,0.31,159.32,D4_0,18.0
282.9,1.6,81.1,0.29,159.33,D4_0,16.0
296.5,1.6,98.37,0.32,180.0,D4_0,16.0
303.4,1.6,107.18,0.46,21.68,D2_0,17.0
310.1,1.6,115.71,0.35,201.52,D4_0,15.0
